"eid","exercise","Short YouTube Demonstration","InDepth YouTube Explanation","Difficulty Level","Target Muscle Group","Prime Mover Muscle","Secondary Muscle","Tertiary Muscle","Primary Equipment","Secondary Equipment","Body Region","Force Type","mechanics","Primary Exercise Classification","setsxreps"
377,"EZ Bar Front Raise","https://youtu.be/N4HLFIr5H4A?si=l2WKwgNX9fExG7xF",NULL,"Novice","Shoulders","Anterior Deltoids","Pectoralis Major","Biceps Brachii","EZ Bar","None","Upper Body","Push","Isolation","Bodybuilding","4x12"
382,"Cable Fire Hydrant","https://youtu.be/P4cP-juNM1Q",NULL,"Novice","Glutes","Gluteus Maximus","Gluteus Medius","Gluteus Minimus","Cable","None","Lower Body","Other","Isolation","Bodybuilding","4x12"
383,"Cable Tall Kneeling Pull Through","https://youtu.be/5mkpuBI-2Ls",NULL,"Novice","Glutes","Gluteus Maximus",NULL,NULL,"Cable","None","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
384,"Stability Ball Bent Knee Reverse Hyperextension",NULL,"https://youtu.be/UOtzPdmg2Ow","Novice","Glutes","Gluteus Maximus",NULL,NULL,"Stability Ball","None","Lower Body","Unsorted*","Isolation","Bodybuilding","4x12"
385,"Bodyweight Bench Bent Knee Reverse Hyperextension","https://youtu.be/RbkVHCMU3xU","https://youtu.be/g07fnrRy3mo","Novice","Glutes","Gluteus Maximus",NULL,NULL,"Bodyweight","Bench (Flat)","Lower Body","Unsorted*","Isolation","Bodybuilding","4x12"
386,"Parallette Tuck L Sit","https://youtu.be/VhqEdeeAyvg","https://youtu.be/KCEMgCjW3iU","Intermediate","Abdominals","Rectus Abdominis",NULL,NULL,"Parallette Bars","None","Midsection","Other","Compound","Calisthenics","4x20"
387,"EZ Bar Close Grip Bicep Curl","https://youtu.be/o1c9wFYt6FA?feature=shared","https://youtu.be/zG2xJ0Q5QtI","Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","EZ Bar","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
388,"EZ Bar Overhead Press","https://youtu.be/_5VJKCjn8YE?feature=shared",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"EZ Bar","None","Upper Body","Push","Compound","Bodybuilding","4x12"
389,"Parallette Single Leg L Sit","https://youtu.be/V3hnphPbiAg","https://youtu.be/49pZak4cQ_0","Intermediate","Abdominals","Rectus Abdominis",NULL,NULL,"Parallette Bars","None","Midsection","Other","Compound","Calisthenics","4x20"
395,"Slider Double Kettlebell Suitcase Lateral Lunge","https://youtu.be/bAaaXP2xb8E?si=AOaxE4RzaGKjiq0h",NULL,"Novice","Adductors","Adductor Magnus",NULL,NULL,"Sliders","Kettlebell","Lower Body","Other","Compound","Bodybuilding","4x12"
396,"Slider Kettlebell Horn Grip Lateral Lunge","https://youtu.be/OsP6_mqxBDI?si=Kdp1ECOmqjUFcNM9",NULL,"Novice","Adductors","Adductor Magnus",NULL,NULL,"Sliders","Kettlebell","Lower Body","Other","Compound","Bodybuilding","4x12"
399,"Double Kettlebell Front Rack Cyclist Squat","https://youtu.be/xkL1f4yewf0",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
401,"Single Arm Kettlebell Front Rack Cyclist Squat","https://youtu.be/_FjMUe0AhTY",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
402,"Single Arm Kettlebell Overhead Cyclist Squat","https://youtu.be/PSRoSLw3GME",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
403,"Double Dumbbell Front Rack Alternating Cossack Squat","https://youtu.be/JFeG8YiLYmk",NULL,"Novice","Quadriceps","Quadriceps Femoris","Adductor Magnus","Gluteus Maximus","Dumbbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
404,"Kettlebell Horn Grip Cyclist Squat","https://youtu.be/TysYZ7rKhpM",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
405,"Kettlebell Bottoms Up Horn Grip Cyclist Squat",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
406,"Single Arm Kettlebell Bottoms Up Front Rack Cyclist Squat","https://youtu.be/x8bLCSXTChA",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
407,"Double Kettlebell Overhead Cyclist Squat",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
408,"Double Kettlebell Bottoms Up Overhead Cyclist Squat",NULL,NULL,"Advanced","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
409,"Double Kettlebell Bottoms Up Front Rack Cyclist Squat",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
410,"Single Arm Kettlebell Bottoms Up Overhead Cyclist Squat",NULL,NULL,"Advanced","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
411,"EZ Bar Seated Overhead Press","https://youtu.be/-MwL_9KOv7U?si=z-KgUayvNC37N78i",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"EZ Bar","Bench (Flat)","Upper Body","Push","Compound","Bodybuilding","4x12"
412,"EZ Bar Tall Kneeling Overhead Tricep Extension",NULL,NULL,"Novice","Triceps","Triceps Brachii",NULL,NULL,"EZ Bar","None","Upper Body","Push","Isolation","Bodybuilding","4x12"
413,"EZ Bar Reverse Grip Overhead Press",NULL,NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"EZ Bar","None","Upper Body","Push","Compound","Bodybuilding","4x12"
414,"Double Dumbbell Suitcase Knee Over Toe Split Squat","https://youtu.be/2U58iHm7oSM","https://youtu.be/4qPJUSczLcM","Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Dumbbell","None","Lower Body","Push","Compound","Bodybuilding","4x12"
415,"EZ Bar Reverse Grip Seated Overhead Press",NULL,NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"EZ Bar","Bench (Flat)","Upper Body","Push","Compound","Bodybuilding","4x12"
416,"EZ Bar Close Grip Bench Press","https://youtu.be/yoS-cVxq28Q?si=hPjefaZ8jY6Ugoh_","https://youtu.be/3U94_ZiAwfM?si=owQuwz8PUei66Z27","Novice","Triceps","Triceps Brachii","Pectoralis Major",NULL,"EZ Bar","Bench (Flat)","Upper Body","Push","Compound","Bodybuilding","4x12"
417,"EZ Bar Close Grip Incline Bench Press","https://youtu.be/PEH5Ncie81g?si=F2eXxzjoehGGc9Bb",NULL,"Novice","Triceps","Triceps Brachii","Pectoralis Major",NULL,"EZ Bar","Bench (Incline)","Upper Body","Push","Compound","Bodybuilding","4x12"
418,"EZ Bar Close Grip Decline Bench Press","https://youtu.be/K40CGYdAysc?si=AY-3wTXsp03-uRQ_",NULL,"Novice","Triceps","Triceps Brachii","Pectoralis Major",NULL,"EZ Bar","Bench (Decline)","Upper Body","Push","Compound","Bodybuilding","4x12"
420,"Single Arm Kettlebell Cyclist Thruster",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Anterior Deltoids",NULL,"Kettlebell","Slant Board","Full Body","Push","Compound","Bodybuilding","4x12"
421,"Double Kettlebell Cyclist Thruster",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Anterior Deltoids",NULL,"Kettlebell","Slant Board","Full Body","Push","Compound","Bodybuilding","4x12"
422,"Alternating Double Kettlebell Cyclist Thruster",NULL,NULL,"Novice","Quadriceps","Quadriceps Femoris","Anterior Deltoids",NULL,"Kettlebell","Slant Board","Full Body","Push","Compound","Bodybuilding","4x12"
423,"Single Arm Kettlebell Bottoms Up Cyclist Thruster",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Anterior Deltoids",NULL,"Kettlebell","Slant Board","Full Body","Push","Compound","Bodybuilding","4x12"
424,"Double Kettlebell Bottoms Up Cyclist Thruster",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Anterior Deltoids",NULL,"Kettlebell","Slant Board","Full Body","Push","Compound","Bodybuilding","4x12"
425,"Alternating Double Kettlebell Bottoms Up Cyclist Thruster",NULL,NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Anterior Deltoids",NULL,"Kettlebell","Slant Board","Full Body","Push","Compound","Bodybuilding","4x12"
427,"Barbell Reverse Grip Overhead Press","https://youtu.be/ZO_ALQcMaq4?si=Sv5NmxfQj3aIKU84","https://youtu.be/IRcBuxf9nz0?si=1k15JKgoNg00FTnQ","Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Barbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
428,"Barbell Seated Reverse Grip Overhead Press",NULL,NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Barbell","Bench (Flat)","Upper Body","Push","Compound","Bodybuilding","4x12"
430,"Tire Sledge Hammer Staggered Stance Slam","https://youtu.be/ykhGpORlJ4Y?si=6hFSwmMbG1lGLXki","https://youtu.be/wbl7j9LVH7o?si=OWJW5iPxg-e6M6Wh","Novice","Abdominals","Obliques","Rectus Abdominis","Posterior Deltoids","Tire","Sledge Hammer","Upper Body","Other","Compound","Ballistics","4x10"
431,"Tire Macebell Staggered Stance Slam",NULL,NULL,"Novice","Abdominals","Obliques","Rectus Abdominis","Posterior Deltoids","Tire","Macebell","Upper Body","Other","Compound","Ballistics","4x10"
433,"Landmine Goblet Alternating Cossack Squat","https://youtu.be/N549md2Wu2A",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Adductor Magnus","Gluteus Maximus","Landmine","None","Lower Body","Push","Compound","Bodybuilding","4x12"
434,"Landmine Low Hold Alternating Cossack Squat","https://youtu.be/PnBI0wLBZIg",NULL,"Intermediate","Quadriceps","Quadriceps Femoris","Adductor Magnus","Gluteus Maximus","Landmine","None","Lower Body","Push","Compound","Bodybuilding","4x12"
435,"Bodyweight Push Up","https://youtu.be/_l3ySVKYVJ8?si=PZh3DAAcRNF9txaZ","https://youtu.be/IODxDxX7oi4?si=WwbQkUnT1DXcYujC","Novice","Chest","Pectoralis Major","Triceps Brachii",NULL,"Bodyweight","None","Upper Body","Push","Compound","Calisthenics","4x20"
436,"Barbell Close Grip Incline Bench Press","https://youtu.be/wbI4qof1454?si=WRjRCDTcll5n5uKu",NULL,"Novice","Triceps","Triceps Brachii","Pectoralis Major",NULL,"Barbell","Bench (Incline)","Upper Body","Push","Compound","Bodybuilding","4x12"
437,"Barbell Close Grip Decline Bench Press",NULL,"https://youtu.be/t5TxzynRREU?feature=shared","Novice","Triceps","Triceps Brachii","Pectoralis Major",NULL,"Barbell","Bench (Decline)","Upper Body","Push","Compound","Bodybuilding","4x12"
438,"Double Dumbbell Push Press","https://youtu.be/JqztIwOb4Hs?si=89lHhxGXew7SEPqj",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
442,"Cable Rope Tall Kneeling Overhead Tricep Extension","https://youtu.be/cDMXXH7Y9AM?si=pObK3p_2FqS0HqbC",NULL,"Novice","Triceps","Triceps Brachii",NULL,NULL,"Cable","None","Upper Body","Push","Isolation","Bodybuilding","4x12"
445,"Alternating Double Kettlebell Overhead Press","https://youtu.be/KMKqAY-T3wE?si=DccwyejeKVDgXRV-",NULL,"Novice","Shoulders","Anterior Deltoids",NULL,NULL,"Kettlebell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
448,"Double Plate Seated Lu Raise",NULL,NULL,"Novice","Shoulders","Infraspinatus","Posterior Deltoids",NULL,"Weight Plate","Bench (Flat)","Upper Body","Unsorted*","Compound","Mobility","2x20"
449,"Double Kettlebell Bottoms Up Floor Press","https://youtu.be/BDCAkIEOPvE?si=ouPFKCSuMS-REkBT",NULL,"Novice","Chest","Pectoralis Major","Triceps Brachii",NULL,"Kettlebell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
450,"Alternating Double Kettlebell Bottoms Up Floor Press",NULL,NULL,"Novice","Chest","Pectoralis Major","Triceps Brachii",NULL,"Kettlebell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
451,"Single Arm Kettlebell Bottoms Up Floor Press","https://youtu.be/uk39UR9K25Y?si=s6ejJf9GtQ4llbjw","https://youtu.be/nkj1g66OUmU?si=tgMKon5lGlqNBvDB","Novice","Chest","Pectoralis Major","Triceps Brachii",NULL,"Kettlebell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
452,"Trap Bar Bent Over Row","https://youtu.be/aNllFax4shk?si=J0w79P4ud8wpm67U","https://youtu.be/nK6CkO2jcB4?si=pwONlFrWB5RqE76C","Novice","Back","Latissimus Dorsi","Rhomboids","Posterior Deltoids","Trap Bar","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
453,"Trap Bar Pendlay Row","https://youtu.be/d5rLWfIN9fo?si=iiKqMHW4Xr9OMyaR","https://youtu.be/lvU-3-TbzVY?si=CXTkA5ySEmgIyI1Q","Novice","Back","Latissimus Dorsi",NULL,NULL,"Trap Bar","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
454,"Trap Bar Shrug","https://youtu.be/DjFdFkeXSDM?si=RIA3ok7NhzuAj8LK",NULL,"Novice","Trapezius","Upper Trapezius",NULL,NULL,"Trap Bar","None","Upper Body","Pull","Isolation","Bodybuilding","4x12"
455,"Bodyweight Tuck L Sit","https://youtu.be/U9Z7WWNm1d4?si=pWSS4MOr8iZXWiNj","https://youtu.be/K-c1xXiUWJE","Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Bodyweight","None","Midsection","Other","Compound","Calisthenics","4x20"
456,"Parallette Straddle L Sit","https://youtu.be/F6o417SxU1g",NULL,"Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Parallette Bars","None","Midsection","Other","Compound","Calisthenics","4x20"
457,"Ring Turned Out L Sit",NULL,NULL,"Expert","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
460,"Ring Tuck Back Lever","https://youtu.be/SZV1-ts76CM","https://youtu.be/-hdW6N3sEXA","Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
461,"Ring Advanced Tuck Back Lever",NULL,"https://youtu.be/7lceZm3XEcM","Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
462,"Ring Straddle Back Lever",NULL,"https://youtu.be/5GJB37pP6z8","Expert","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
463,"Ring Half Lay Back Lever",NULL,NULL,"Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
464,"Ring Single Leg Out Back Lever",NULL,NULL,"Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
465,"Ring Full Back Lever","https://youtu.be/ZFEy1s_N820","https://youtu.be/HXaG8mJmSnU","Expert","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
466,"Trap Bar Floor Press","https://youtu.be/4C4LDf-eZ5A?si=Uh-L_Lu-0xta0H-S",NULL,"Novice","Chest","Pectoralis Major","Triceps Brachii","Anterior Deltoids","Trap Bar","None","Upper Body","Push","Compound","Bodybuilding","4x12"
467,"Trap Bar Overhead Press","https://youtu.be/Vorw1hVd_Dc?si=CRIVCwpCzzeBwN26",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Trap Bar","None","Upper Body","Push","Compound","Bodybuilding","4x12"
468,"Ring Handstand Lower to Back Lever",NULL,NULL,"Master","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Unsorted*","Compound","Calisthenics","4x20"
469,"Ring Tuck Front Lever","https://youtu.be/JxlKAuD9gkA","https://youtu.be/eicU_5iBP5U","Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
470,"Ring Advanced Tuck Front Lever",NULL,"https://youtu.be/Purt97a2pqE","Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
471,"Ring Straddle Front Lever","https://youtu.be/eI-15uPc0yE",NULL,"Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
472,"Ring Half Lay Front Lever",NULL,NULL,"Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
473,"Ring Single Leg Out Front Lever",NULL,NULL,"Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
474,"Ring Full Front Lever","https://youtu.be/rB9EcLohiVs","https://youtu.be/_qNRNyI3qxM","Expert","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
475,"Ring Front Lever Pull to Inverted Hang",NULL,NULL,"Expert","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
476,"Ring Inverted Hang","https://youtu.be/txtXtF2-4S0","https://youtu.be/qKjdH5Lan5o","Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
479,"Ring Circle Front Lever",NULL,NULL,"Expert","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
480,"Trap Bar Tall Kneeling Overhead Press","https://youtu.be/ILFSDv6TaiY?si=0iUQUtwUMsGFbVuI",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Trap Bar","None","Upper Body","Push","Compound","Bodybuilding","4x12"
481,"Trap Bar Bench Press","https://youtu.be/8TIFsF_HU_8?feature=shared",NULL,"Novice","Chest","Pectoralis Major","Triceps Brachii","Anterior Deltoids","Trap Bar","Bench (Flat)","Upper Body","Push","Compound","Bodybuilding","4x12"
482,"Alternating Double Dumbbell Z Press","https://youtu.be/dsTU2qm4ef0?si=sT2aw7NxeFtfYYNV",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii",NULL,"Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
483,"Single Arm Dumbbell Half Kneeling Ipsilateral Overhead Press",NULL,"https://youtu.be/xwNijn3wK7I?si=h_QgGtuzq4TYPztT","Novice","Shoulders","Anterior Deltoids","Triceps Brachii","Rectus Abdominis","Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
484,"Double Dumbbell Half Kneeling Overhead Press","https://youtu.be/HZM84steEyw?si=wN3l2SpjKBFPTIbD",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii","Rectus Abdominis","Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
485,"Double Dumbbell Tall Kneeling Overhead Press","https://youtu.be/y0t2PFFwSe4?si=VjtJz1Dg61jGQIZ9",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii","Rectus Abdominis","Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
486,"Alternating Double Dumbbell Tall Kneeling Overhead Press","https://youtu.be/UhOs_Wvckvs?si=FqNmpb8ECh_Y-9rl",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii","Rectus Abdominis","Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
487,"Alternating Double Dumbbell Half Kneeling Overhead Press","https://youtu.be/12MxAGiIgK8?si=pO89QghXz2Ykj1lb",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii","Rectus Abdominis","Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
488,"Single Arm Dumbbell Tall Kneeling Overhead Press","https://youtu.be/QVFklRHtJxY?si=D_kiEaZg-5pSrfHL",NULL,"Novice","Shoulders","Anterior Deltoids","Triceps Brachii","Rectus Abdominis","Dumbbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
490,"Single Arm Kettlebell Pendlay Row","https://youtu.be/VOmnhGvccZ0?feature=shared","https://youtu.be/4s4dmYTwOok?si=hW7jE6WANr2Iv0QN","Novice","Back","Latissimus Dorsi","Biceps Brachii",NULL,"Kettlebell","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
491,"Barbell Floor Press","https://youtu.be/YdiVxhxufG8?si=pMAxf531BcAPvatO",NULL,"Novice","Chest","Pectoralis Major","Triceps Brachii","Anterior Deltoids","Barbell","None","Upper Body","Push","Compound","Bodybuilding","4x12"
492,"Ring Plank","https://youtu.be/p3zS2AMqGlg",NULL,"Novice","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
493,"Single Arm Ring Plank","https://youtu.be/_Iev7PLP6QY",NULL,"Intermediate","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
496,"Ring Support Hold","https://youtu.be/kONbxg4kzkE","https://youtu.be/9PKChU9Ozs8","Advanced","Abdominals","Rectus Abdominis",NULL,NULL,"Gymnastic Rings","None","Unsorted*","Other","Compound","Calisthenics","4x20"
497,"Ring Side Plank","https://youtu.be/PQ3Vz8fp73k",NULL,"Advanced","Abdominals","Obliques","Rectus Abdominis",NULL,"Gymnastic Rings","None","Midsection","Other","Compound","Calisthenics","4x20"
498,"Barbell Reverse Grip Bent Over Row","https://youtu.be/cZvQNvTUUu0?si=SqA3lYAZBc0jOnvn","https://youtu.be/3gdGSSgDby8?si=OyYmh7nuJE7MOd18","Novice","Back","Latissimus Dorsi","Rhomboids","Posterior Deltoids","Barbell","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
499,"Macebell Offset Bent Over Row","https://youtu.be/OXl94TQd_vw?si=AMXpvOM-H382GJoz","https://youtu.be/B5HzEBCUYTA?si=qThbbgj9xsDEnoRy","Novice","Back","Latissimus Dorsi","Rhomboids","Posterior Deltoids","Macebell","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
500,"Macebell Reverse Grip Offset Bent Over Row","https://youtu.be/igNnqZZ69JM?si=xaqrnAFrW4r7NuVR",NULL,"Novice","Back","Latissimus Dorsi","Rhomboids","Posterior Deltoids","Macebell","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
501,"Alternating Single Arm Kettlebell Pendlay Row",NULL,NULL,"Novice","Back","Latissimus Dorsi","Biceps Brachii",NULL,"Kettlebell","None","Upper Body","Pull","Compound","Bodybuilding","4x12"
507,"Single Arm Cable Single Leg Romanian Deadlift","https://youtu.be/OC_7QIo0uk4",NULL,"Intermediate","Hamstrings","Biceps Femoris","Gluteus Maximus",NULL,"Cable","None","Lower Body","Pull","Compound","Bodybuilding","4x12"
508,"Double Kettlebell Suitcase Cyclist Squat","https://youtu.be/6caQpfXMvyw?si=WY0XcdcIUuE20g-o",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
509,"Single Arm Kettlebell Suitcase Cyclist Squat","https://youtu.be/AlxuA22ymwg?si=-tgz7djxN0QKxXfA",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Slant Board","Lower Body","Push","Compound","Bodybuilding","4x12"
510,"Double Kettlebell Front Rack Step Up","https://youtu.be/wcnuhd6RHwE",NULL,"Novice","Quadriceps","Quadriceps Femoris","Gluteus Maximus",NULL,"Kettlebell","Plyo Box","Lower Body","Push","Compound","Bodybuilding","4x12"
511,"Double Kettlebell Incline Bench Prone Row","https://youtu.be/jHpBzpxK16c?si=3sB9wGkke_B632ad","https://youtu.be/awJJqNd0-9s?si=OSIE0z3se9Z4vj_4","Novice","Back","Latissimus Dorsi",NULL,NULL,"Kettlebell","Bench (Incline)","Upper Body","Pull","Compound","Bodybuilding","4x12"
512,"Single Arm Dumbbell Incline Bench Prone Row","https://youtu.be/4Bv94e_ufjo?si=8V5SPIIuNai7zUm3",NULL,"Novice","Back","Latissimus Dorsi",NULL,NULL,"Dumbbell","Bench (Incline)","Upper Body","Pull","Compound","Bodybuilding","4x12"
513,"Single Arm Dumbbell Spider Curl","https://youtu.be/Ew2ZzKqICfA?si=Irq2jLSDxKiagY3F",NULL,"Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Dumbbell","Bench (Incline)","Upper Body","Pull","Isolation","Bodybuilding","4x12"
514,"Double Kettlebell Spider Curl",NULL,"https://youtu.be/L6XHpSFmVjA?si=BYKjvx0FJ8AIiQ7W","Novice","Biceps","Biceps Brachii","Brachialis","Brachioradialis","Kettlebell","Bench (Incline)","Upper Body","Pull","Isolation","Bodybuilding","4x12"
515,"Double Kettlebell Bottoms Up Incline Bench Press","https://youtu.be/STeIzkHm6tE?si=BxEJOKh_KtwNSMK_",NULL,"Novice","Chest","Pectoralis Major","Triceps Brachii",NULL,"Kettlebell","Bench (Incline)","Upper Body","Push","Compound","Bodybuilding","4x12"
516,"Double Dumbbell Seated Good Morning","https://youtu.be/x5nnk8hUBo4","https://youtu.be/7NMbAV4KPpo","Novice","Back","Erector Spinae","Biceps Femoris","Gluteus Maximus","Dumbbell","Bench (Flat)","Unsorted*","Unsorted*","Compound","Bodybuilding","4x12"
517,"Bodyweight Hip Thrust","https://youtu.be/OAhvIWLC0rc",NULL,"Beginner","Glutes","Gluteus Maximus",NULL,NULL,"Bodyweight","Bench (Flat)","Lower Body","Unsorted*","Compound","Bodybuilding","4x12"
519,"Alternating Double Kettlebell Bottoms Up Incline Bench Press",NULL,NULL,"Novice","Chest","Pectoralis Major","Triceps Brachii",NULL,"Kettlebell","Bench (Incline)","Upper Body","Push","Compound","Bodybuilding","4x12"
520,"Single Arm Kettlebell Bottoms Up Incline Bench Press","https://youtu.be/SoVCwno_9z8?si=BCvfBOVPW_aHbvZ_",NULL,"Novice","Chest","Pectoralis Major","Triceps Brachii",NULL,"Kettlebell","Bench (Incline)","Upper Body","Push","Compound","Bodybuilding","4x12"
521,"Alternating Double Kettlebell Incline Bench Prone Row","https://youtu.be/rAoi4_AI7VA?si=b6KXmXEYoxIPmTt2",NULL,"Novice","Back","Latissimus Dorsi",NULL,NULL,"Kettlebell","Bench (Incline)","Upper Body","Pull","Compound","Bodybuilding","4x12"
